Atom Type,r_0,r_f,Times Moved,dE
Ni,[ 1.63095751 -0.18746916  8.9091914 ],[ 8.86469827  8.90091082 14.26400239],1,-0.2930365442598486
Mo,[14.22768021 -0.09677782 10.68821095],[ 8.94697175  1.53302206 10.62659858],1,-0.2930365442598486
Ni,[14.28252712  1.5253747   8.86360671],[ 7.14960411 10.64240965 14.24672087],2,-0.0506597514099667
Cr,[12.47921498  1.51380075  7.03346989],[10.57890461  8.8349341  12.47834836],1,-0.0506597514099667
B,[1.51217149 9.09202591 1.44206517],[14.35176537 10.06821618  4.97099794],1,-0.5430979166401357
Ni,[10.64685199  1.58768303  8.78220513],[ 3.46519316 14.25559504 10.61620542],3,0.0393733870901087
Mo,[ 8.97428941  1.54776025 10.60864743],[3.53999946 1.41028886 1.48395769],2,0.0393733870901087
Mo,[10.76423851  8.92387767  1.54201352],[10.59085394  3.54403741  6.80922233],3,0.133654928489932
Cr,[10.68617346  7.11409481 14.28505525],[12.2946317   8.90461661 10.66638592],2,0.133654928489932
Ni,[10.65523117  3.38543994 10.72086623],[ 3.45491851 12.52163512  5.22933425],4,-0.0668065936999937
Ti,[10.71678831  5.3258588   9.02484059],[10.61708493  3.46927998 10.80501849],1,-0.0668065936999937
Ni,[10.68420769 12.55185451  8.85215027],[14.35032608  3.37303781  7.1037904 ],5,-0.2353870058900611
Cr,[12.48495383 14.34197986  8.85632693],[ 5.13867398 10.65637123  8.97904258],3,-0.2353870058900611
B,[10.71895745  1.43893913  1.42837261],[8.68898326 3.13975439 1.51870815],2,-0.4108113447998676
Ni,[ 8.87592531 14.25999558 12.46718538],[ 1.59712497 14.30663547  5.26322419],6,-0.258258058400088
Cr,[ 7.05570636 14.23007955 10.64581925],[ 3.46012545 12.38570803  8.95613267],4,-0.258258058400088
Cr,[ 8.94714015  8.88421677 10.52853231],[ 3.54219474  5.14083392 12.71845403],5,0.0421250865499587
Ni,[ 7.00696618  7.07673871 10.63729042],[14.20848685 14.29872339 10.69766779],7,0.0421250865499587
Fe,[ 3.36636696 10.65253259 10.67936143],[12.52027233  7.09369986  1.6054331 ],1,-0.0749464855200585
Cr,[ 5.25111274 12.41639679 10.68297824],[6.96335702 8.9138457  5.20668623],6,-0.0749464855200585
B,[7.04304542 6.12511881 1.51878994],[4.92521393 6.15735845 3.39868922],3,-0.387509726189819
Mo,[8.69822626 1.60571824 3.29052893],[1.191672   8.98942293 3.6597224 ],4,0.1070284531999732
Ni,[8.64718044 3.4395329  5.11544426],[12.38753079 12.54292424 10.67142478],8,0.1070284531999732
Cr,[14.27967977 10.99622326  3.10536296],[12.36982918 12.57424723  6.94338834],7,0.006848472610045
Ni,[ 1.64023574 10.81704013  5.3359752 ],[7.01495886 3.39548836 7.0914802 ],9,0.006848472610045
Ni,[12.47001581  5.21702115  3.41255167],[3.40433127 8.8879154  8.95125226],10,0.0017495460999725
Cr,[12.35577257  3.355477    5.10032818],[ 6.92411595 14.1832275   3.44949007],8,0.0017495460999725
Ni,[14.27809952 12.57553552  1.42435699],[8.70732568 1.4737257  3.3391355 ],11,-0.0447847147199809
Fe,[ 1.51183123 10.68142038  1.49786721],[13.98066826  8.58732562  5.74485847],2,-0.0447847147199809
Cr,[14.27396229  3.35537862  3.27125493],[5.22425327 1.43000813 7.09063345],9,-0.2241293351601143
Ni,[12.43337988  1.5617607   3.33040027],[3.34657626 3.3153821  7.11212076],12,-0.2241293351601143
Mo,[ 3.33101299 12.53205262  1.60226122],[12.29080885  7.07484444  5.33555612],5,-0.0391046904599079
Cr,[ 3.33385884 10.65783308 14.28006765],[ 8.89423067 12.44946758  7.07394836],10,-0.0391046904599079
Ni,[5.08583135 7.28116152 5.20363949],[12.50194448  3.3717293   1.59746135],13,-0.0996495131400934
Cr,[6.94612313 8.93245286 5.25370659],[7.09660402 1.52313396 8.92061282],11,-0.0996495131400934
B,[12.39787921  9.60276739  6.98147468],[10.7730792  10.78378189  7.43956043],4,-0.1665717113999107
Ni,[ 7.02534125 14.14607063  7.06395774],[12.3807984   1.53147052 14.3220628 ],14,-0.0032563533400207
Cr,[7.10599846 1.5029975  8.90713197],[ 7.01172563 12.48396178  8.94515169],12,-0.0032563533400207
B,[ 0.03907778  8.88262291 10.24113469],[12.5139134  10.57951487 10.05379494],5,-0.5905617595601598
Ni,[ 8.84991017 10.64705158 12.46461295],[ 5.10489528 12.51420377  7.09655762],15,-0.5734236026098642
Ti,[12.36714438 10.7681493  12.52532886],[13.97976039 12.23020421  8.9489195 ],2,-0.5734236026098642
B,[9.10608576 2.7864455  1.18877997],[8.14778359 3.63396283 2.26031225],6,0.0001104709099308
Ni,[8.79613167 3.40940403 8.87950809],[12.38360745 12.45565545 14.24713952],16,-0.0099071926699707
Mo,[10.57046717  1.54126497  8.82663073],[3.44873006 1.46931936 1.54699222],6,-0.0099071926699707
Fe,[5.12752846 1.34919231 3.55228751],[12.39578537 14.28610004 12.54244237],3,-0.2000521975098763
Cr,[5.06227006 3.11448324 5.48201344],[14.21191979  1.54783847  8.85042559],13,-0.2000521975098763
Ni,[ 1.5661967   3.37827175 12.54376495],[10.62732504  5.25696278  8.90636421],17,0.0107655213298585
Cr,[ 3.37556898  5.14658562 12.55337661],[10.59166695 12.59899851  8.816616  ],14,0.0107655213298585
Nb,[8.8818851  5.09178585 0.15351116],[14.36822679  5.16142423  5.19776202],1,-1.3399210967900217
Ni,[10.66949074  3.29482727 14.37907824],[ 3.35425649  8.94326904 12.51541743],18,-1.3399210967900217
Ni,[14.24008267 10.93032106  3.19287927],[6.92122169 3.35958113 7.05824919],19,0.2319528614400496
Cr,[ 1.50788718 12.59335157  3.46351354],[14.26976288  8.84835275 12.51051999],15,0.2319528614400496
Ni,[12.02681851 10.57504536  5.64939752],[ 6.97722297  7.19043543 14.30208233],20,-0.0360538641000403
Cr,[10.69539932 12.51145367  5.30000817],[12.47210748  1.5164338   3.3396557 ],16,-0.0360538641000403
Ni,[ 5.19183601  1.635618   10.69558078],[10.59930932  7.1409603   3.32776477],21,-0.7093587825800114
Cr,[ 7.07985195  3.40252675 10.71625593],[ 3.39887198  3.44572316 14.3533966 ],17,-0.7093587825800114
Ni,[12.06449879 10.57456657  8.41321322],[7.39714002 3.37011242 2.87166399],22,-0.0640595619399846
Ti,[10.70246055  8.64531098  9.13008294],[6.87675939 1.33122849 1.47876372],3,-0.0640595619399846
B,[12.58230961 10.89731899 10.60812056],[10.59286711 12.42468715 10.74874505],7,0.1644567902301332
Ni,[5.08737038 7.26654728 1.58506499],[ 1.51313085 10.76218742  1.58153328],23,-0.3998904291001963
Cr,[3.36569727 8.97015959 1.57490864],[ 8.86076878 14.20505107 12.49354624],18,-0.3998904291001963
Cr,[7.33947002 3.40363057 0.06902108],[14.29186188  5.19885391  8.86661767],19,-0.0450413616699734
Mo,[ 7.09046847  1.69236375 12.62195178],[12.68744515  9.07663979  3.52424513],7,-0.0450413616699734
Ni,[ 8.81303081  3.39879514 12.46112653],[12.44676169 14.31492826  8.8276657 ],24,0.2908381308200205
Cr,[ 7.06215243  1.62554465 12.563287  ],[14.2931756   5.19883537  8.8679163 ],20,0.2908381308200205
Cr,[12.16045593 10.69392853  5.51586625],[12.47370147  1.53241076  3.32993207],21,0.1212484736199712
Ni,[10.59517061 12.51343422  5.23377525],[ 6.94033512  7.19949236 14.3137172 ],25,0.1212484736199712
Ni,[1.62169053 3.47769245 1.5595065 ],[10.55182919  8.78701535  5.06943467],26,-0.1277618359499683
Mo,[3.49331536 1.47803725 1.52178913],[12.49811754  5.25209603 14.37995208],8,-0.1277618359499683
Ni,[12.42711573 10.63919346 12.49428852],[ 5.08924535 12.52735683  7.08442643],27,-0.4291159346098538
Cr,[10.68335385  8.77959466 12.45716986],[ 6.97274118  7.08103765 10.65478823],22,-0.4291159346098538
B,[13.91924897 10.27773223  5.06121571],[11.02483158 10.38763897  6.26767021],8,-0.2913143679800214
B,[10.56347983 12.44467462 10.8109919 ],[14.11552464  9.0002365   7.14559107],9,-0.2484531225200044
Ni,[12.17140932  8.76093864  6.99544383],[3.3404828  8.98625601 1.55530394],28,-0.0864952309200361
Fe,[12.48171369  6.96001071  8.90546667],[ 5.19475498 12.49114666 10.72770971],4,-0.0864952309200361
Ni,[8.78349274 6.98110483 8.92802904],[14.23651211  8.81671514  9.0778858 ],29,-0.4911355122999339
Nb,[9.22067431 9.01946727 7.16063337],[10.39442454  3.43545515 14.47576773],2,-0.4911355122999339
Ni,[8.78919231 1.38120051 3.34362398],[12.36195126 12.51521233 10.68054975],30,0.040609558469896
Cr,[ 6.9387531  14.12097086  3.54677676],[ 5.20904142  1.48858002 10.8387414 ],23,0.040609558469896
Cr,[ 9.08713501 10.85888386  5.59530398],[ 3.29666794 12.55796843  1.59575665],24,-0.201888846339898
Mo,[ 6.9917511  10.68951561  7.12539208],[8.74125937 8.90375993 3.41991637],9,-0.201888846339898
Ni,[10.53228932  5.47876349  1.5927178 ],[5.17270191 9.00493591 3.4374635 ],31,-0.041925120640144
Cr,[12.37272959  5.24306074  3.21823033],[8.89890847 1.36965364 3.39622896],25,-0.041925120640144
Mo,[8.69271202 3.43008317 8.81960176],[1.60748781 3.44861614 1.53852632],10,0.1286149300899524
Ni,[8.68932849 1.54739683 7.07824706],[ 8.820038   12.44670206 14.27942132],32,0.1286149300899524
Nb,[10.37411148  3.44522257 14.46936232],[14.34246941  5.10942182  5.16109791],3,-0.0437346293899736
Mo,[10.41621583  3.47744877  3.05291726],[14.24947994  3.44319477 10.77325851],11,-0.0437346293899736
Cr,[14.26091337  1.54356072  8.89075848],[12.40942531 10.68818137 12.44206181],26,-0.2273460499400244
Mo,[12.56666379  3.3823535   8.86212201],[6.85546464 6.94176693 6.95555343],12,-0.2273460499400244
B,[8.85922853 2.55835153 1.51591943],[8.78539429 4.34812959 1.50474066],10,3.736528014997021e-05
Ni,[ 1.5346607  14.27265217  5.23429354],[8.70287978 8.72667481 7.04856231],33,-0.0840941354499591
Cr,[14.13984095 12.54460489  5.18401123],[10.63253126 12.3987984   1.59571087],27,-0.0840941354499591
B,[14.12268124  9.11948176  7.2246518 ],[11.33822191 10.58693957  6.29737536],11,-0.1676543958701586
Ni,[12.44496434 10.72138941  1.55050766],[14.26490529  8.91452581  1.54056567],34,0.033079337890058
Mo,[12.51680859  8.90649573  3.36204585],[3.68371102 3.44849488 3.37371187],13,0.033079337890058
Cr,[12.36278708 12.46746843  6.92172017],[1.49035866 7.09950183 8.79999598],28,0.0550026752200665
Ni,[12.71134481 10.64885293  5.04324906],[6.94600029 5.16431206 8.9727288 ],35,0.0550026752200665
Fe,[10.58705846  7.03032552  7.04533133],[14.30400113 12.51215368  1.54136149],5,-0.4117449602499619
Nb,[8.78366555 6.94364976 8.974773  ],[10.48135343  3.50882453  3.11597551],4,-0.4117449602499619
Cr,[ 8.82378844 14.33230942  8.98998196],[14.2400982   7.15273884  7.12776142],29,0.0701105228999949
Ni,[ 7.02308193 14.29064015 10.71503747],[14.24516762 12.54027489  5.21183693],36,0.0701105228999949
B,[11.36601856 10.61524572  6.3198844 ],[14.18131258 14.09173874  5.16005015],12,-0.1718922818201917
Ni,[10.5700431   8.72048756  8.95800638],[7.43702331 3.31111301 2.86449304],37,0.0428218808501696
Fe,[12.43386572  8.69263286  7.08872915],[ 5.23731304 12.46731564 10.68490786],6,0.0428218808501696
Ni,[7.43702331 3.31111301 2.86449304],[10.61139245 12.45235281 12.45343152],38,-0.4262661010400279
Cr,[5.10527368 1.45074964 3.4691963 ],[12.50606337  3.45524799  8.86403522],30,-0.4262661010400279
Ni,[14.11724123 12.2252131   5.32166133],[8.71331671 8.76887496 7.10371537],39,-0.1164309942000727
Cr,[14.14454285 10.70241318  3.5046371 ],[14.25487168  8.90623562 12.43780929],31,-0.1164309942000727
Mo,[ 1.67402798 14.31289617  8.82636535],[8.71943237 1.5800972  7.14815756],14,0.0211741186999461
Cr,[ 3.47370702 12.40448183  8.96861491],[ 7.03472905 12.4579735   1.65327401],32,0.0211741186999461
Cr,[8.6506083  5.09450945 7.15445967],[ 5.19727032 14.35915423 12.31669717],33,-0.2061427887099398
Ni,[6.96434454 5.19841269 9.00614338],[ 1.54338068 14.24120131  1.56235279],40,-0.2061427887099398
B,[8.85356645 2.56184801 1.51740319],[8.85424911 2.56512642 1.51121624],13,1.641470998947625e-05
Cr,[ 5.19426614  1.5173871  10.86318678],[ 3.42895281  3.40620055 14.3264379 ],34,0.0627661778300989
Ni,[ 7.08200084  1.57532351 12.52905967],[12.40920079 14.35467579  8.892462  ],41,0.0627661778300989
Mo,[12.45109948  5.22033124 14.3366252 ],[ 3.27414282 10.72773902 14.28743189],15,-0.0804141613700721
Ni,[14.26542327  5.23487774 12.54130854],[12.31019136 14.35844627  5.18733572],42,-0.0804141613700721
Fe,[14.1491877   8.93102405  5.31123226],[1.48124399 7.19024998 5.33694788],7,-0.1268120872300642
Ni,[1.54465843 8.93182944 7.07319346],[ 5.21417492  3.37825388 12.53621225],43,-0.1268120872300642
Cr,[14.0800406  12.1631562   5.27050355],[14.25322341  8.86984184 12.4363262 ],35,-0.0028923910099365
Ni,[12.38878976 12.60199566  7.13355547],[8.68877047 5.17675718 7.08892456],44,-0.0028923910099365
Ni,[12.47609884  7.01035059  8.90838737],[3.35339206 9.00573629 1.57631361],45,-0.1729080981999686
Cr,[12.4331472   8.77152296 10.70793469],[10.64126291  8.88277709  1.59605555],36,-0.1729080981999686
Ti,[5.14345499 3.3967986  8.96228899],[6.68234356 5.41616537 1.71820049],4,-0.1871008424200226
Ni,[ 3.34286059  3.40785197 10.73568583],[10.63510499 10.68625548  3.46596919],46,-0.1871008424200226
Ni,[ 8.85319352 10.66357434  1.59794906],[ 1.53156573 10.65596412  8.85771599],47,0.061034510240006
Cr,[ 7.04702328 12.43815584  1.66074264],[ 3.45891464  7.1417168  14.19196549],37,0.061034510240006
Ni,[ 8.87685398  1.33776164 14.28474044],[12.40198336  8.84143586 10.66411809],48,0.0737798395300615
Cr,[10.64011482  1.3554902   1.57661377],[ 3.35728625 10.65772527 10.65663578],38,0.0737798395300615
Ni,[ 5.24842475  3.38000634 12.57851376],[14.12235222  8.94028666  5.30097585],49,-0.1114784752001014
Cr,[ 5.16513305  1.39357057 14.14131516],[ 1.49620913  7.1616165  12.6298684 ],39,-0.1114784752001014
Cr,[12.07182548 10.71571796  5.63930518],[1.49252247 7.12849132 8.75850797],40,-0.0423322852100227
Mo,[ 8.97703364 10.81647564  5.54753785],[8.75375618 8.91852661 3.45330789],16,-0.0423322852100227
Cr,[5.04162325 7.34765834 1.51196945],[ 8.82907248 14.22357657 12.372958  ],41,-0.1236087208199023
Ni,[ 5.17985604  9.00630513 14.22248485],[14.23488396  3.41659568 14.36134973],50,-0.1236087208199023
Ni,[12.28742575  1.56788572 14.34643001],[8.77631406 3.42875304 8.93529395],51,-0.0350249327000256
Fe,[12.41505978 14.24597721 12.502987  ],[ 5.22801277 14.25481338  5.2676957 ],8,-0.0350249327000256
Ni,[5.10261278 7.30507485 1.58426198],[14.22960251  3.40920109 14.35703636],52,0.1246476872499897
Cr,[ 5.20363121  8.98897688 14.23505018],[ 8.83394902 14.22439763 12.36899774],42,0.1246476872499897
Ni,[12.27275738 14.41287297  5.18886141],[6.93108666 1.5591329  5.17544509],53,0.0068107486899862
Cr,[12.47986059  1.5486294   3.29080989],[5.22105994 1.59337681 7.13801737],43,0.0068107486899862
Ni,[3.62171136 5.32990035 1.69153357],[ 1.51879625 12.51258135  3.47677826],54,-0.007953104020089
Cr,[ 3.46413743  3.37071115 14.31306143],[ 8.9321787   1.29053808 14.18233974],44,-0.007953104020089
Ni,[12.38322536  5.27425244 10.72129999],[8.72435964 7.19755673 1.60907093],55,0.0866169717501179
Mo,[14.24726702  3.45839159 10.7046806 ],[ 1.56426471 12.51279354  6.96783498],17,0.0866169717501179
Cr,[ 8.92816401  1.29025897 14.17720312],[ 3.36761101 10.66954614 10.65759147],45,-0.0774319471599938
Ni,[10.65504961 14.1351729  14.24615572],[ 7.08401099 14.17396158 14.11870411],56,-0.0774319471599938
Cr,[ 9.02990654 10.84424243  5.63726414],[1.4638324  7.10502522 8.74638995],46,-0.0539786557999377
Mo,[8.73942241 8.90983842 3.45067712],[ 6.98812885  5.31321315 12.47488158],18,-0.0539786557999377
Cr,[ 1.75657956 14.3535286   5.21394794],[10.59131087 12.4060767   1.60055815],47,-0.2793278018900764
Ni,[ 1.52886385 12.50932209  3.47835234],[6.93426406 3.41543236 7.13929014],57,-0.2793278018900764
Cr,[ 1.37470963 12.60067696  3.61891714],[10.5780015  12.38377004  1.5950291 ],48,-0.2879042033100631
Mo,[ 1.51912426 12.51977279  6.88347175],[ 3.42246963 10.78797716  3.46552447],19,-0.2879042033100631
Ni,[12.44429374  8.95264008 14.2249082 ],[ 1.53685633  8.95521441 10.65518809],58,0.1359207924599559
Fe,[12.45951768  7.15832638  1.6110968 ],[5.21984615 3.23895663 5.28305075],9,0.1359207924599559
Cr,[10.59484868 14.13146671 14.17372816],[ 3.36547375 10.6698107  10.64352872],49,0.0026729557700946
Ni,[12.40210408 14.24201256 12.46418793],[8.76479024 3.43096776 8.91957997],59,0.0026729557700946
Cr,[14.30839767  7.09232167  7.08652067],[ 4.97606527 14.0135728   1.7073302 ],50,-0.031438610880059
Ni,[14.24056645  8.87598725  8.85780243],[ 3.39661284  1.62129162 12.53548953],60,-0.031438610880059
Nb,[3.52074188 5.30219088 5.11891532],[ 5.30860888 12.45981088 14.1765702 ],5,-0.0627094159999615
Ni,[3.39902137 3.39516516 7.07116556],[ 8.80166669  1.60151115 10.71600459],61,-0.0627094159999615
Ni,[ 1.88634971 14.40163685  5.45126571],[6.91508673 3.42644505 7.17058604],62,0.069182889870035
Cr,[ 3.61076983 14.45550386  7.06027171],[10.61004418  5.50614614  1.56786719],51,0.069182889870035
Cr,[10.59440546 12.40641433  1.58565049],[ 9.16592639 10.69095338  8.58722076],52,-0.2069825229800699
Mo,[12.39991938 10.67815235  1.56693254],[3.88268469 3.66256439 3.44805522],20,-0.2069825229800699
Cr,[ 4.98340365 14.03757607  1.68409226],[14.1255447   7.18074034 14.2821194 ],53,-0.3082158834699839
Ni,[ 6.97802083 14.1486531   3.42184678],[12.4020302  12.49131977 10.62742979],63,-0.3082158834699839
Ni,[8.65986998 5.17235412 7.09287633],[ 1.52931682 14.26213742  1.56089618],64,0.1947931760601022
Fe,[8.72029385 6.9965321  8.9897237 ],[14.16323343 12.44966142  1.5698647 ],10,0.1947931760601022
Ni,[6.9694245  1.51464507 5.17710482],[10.64684297 14.45245676  7.10114849],65,-0.1443578544301544
Cr,[ 6.99668925 14.13973661  3.48442218],[14.12440261  7.18016706 14.28839755],54,-0.1443578544301544
