Atom Type,r_0,r_f,Times Moved,dE
Ni,[10.74184906  3.40270676 -0.1434088 ],[ 5.09977908 12.69578091 13.92417355],1,0.0113035599099475
Cr,[12.56942193  3.40162811  1.65700923],[ 5.33000013  5.10919039 10.46027042],1,0.0113035599099475
Ni,[ 1.61141127 10.6661937   5.31946197],[10.6787131   8.84674001 12.63457707],2,-0.2159091750199877
Cr,[14.31506643 10.67810568  3.40964072],[1.56300502 1.63255039 7.00594978],2,-0.2159091750199877
Ni,[3.39204615 8.80224328 8.88268623],[ 8.78607347 10.6994139  12.56954687],3,-0.0428706847699231
Fe,[ 3.34791163 10.63270897 10.63248696],[ 6.80736328 10.79252925 14.2023958 ],1,-0.0428706847699231
C,[ 3.40521035  5.9614046  13.2084808 ],[ 1.63314071  5.15502827 12.58241994],1,0.0145329768399733
Ni,[14.34048067 10.66713751  7.10277883],[1.38541394 3.38957066 8.67510517],4,-0.1998389019399837
Cr,[1.64515643 8.805636   7.01751287],[1.61602947 0.12067536 1.66761991],3,-0.1998389019399837
Nb,[10.78142836  5.22231527  5.22611146],[ 8.85217782 14.15692845  5.23308993],1,-0.1923915859599674
Ni,[12.51451913  5.27832058  7.05649985],[5.298766   3.42957185 1.77720581],5,-0.1923915859599674
Ni,[ 7.06227309 12.53319576  8.96750675],[14.39034322 12.44890067  5.18818868],6,-0.7128123607099042
Mo,[ 7.03087473 10.6580428   7.30212709],[3.3204892  4.83092768 9.21122447],1,-0.7128123607099042
Ni,[10.7184279   1.63760745  1.68727874],[ 5.35414134 14.37325036  8.78112149],7,-0.1139663046201349
Mo,[ 8.91069499  1.57659886 14.31604395],[8.82795763 5.21808418 7.13178566],2,-0.1139663046201349
Cr,[ 7.32863588  3.22935256 10.61125419],[5.27333648 8.7258993  3.56161154],4,0.0791962580299241
Fe,[ 9.00380289  3.35230953 12.47170075],[ 5.1869753   6.95719127 12.37780991],2,0.0791962580299241
C,[ 1.65958055  5.1594606  12.57752286],[ 3.23119757  1.80426174 13.10540341],2,-0.51073125917992
Ni,[8.97749617 3.36524823 8.90998229],[14.31947937 14.45263671 10.620847  ],8,-0.1630950624598881
Cr,[7.22665361 5.13960604 9.1192379 ],[ 1.72516376  5.03680303 14.22164356],5,-0.1630950624598881
Ni,[12.61894609  7.07110563  5.13170876],[ 8.94621599  7.05303403 12.51317792],9,-0.3700317917300708
Cr,[4.13056003e-03 6.97513104e+00 7.02538726e+00],[12.5270785  12.61151891 10.70993153],6,-0.3700317917300708
Ti,[ 1.90138676  0.27511718 12.34803588],[14.41248505 10.51843178 10.61912934],1,0.1130279632500332
Cr,[ 3.74011641  2.5013584  11.12233414],[10.73612503  6.9512665  14.29125277],7,0.1130279632500332
Cr,[10.69684819  3.34937705 14.23638962],[ 5.26596482  5.14122659 10.62635902],8,-0.2027725208399715
Ni,[12.50876357  5.1394547  14.28040794],[ 3.49228452 12.50320685  5.46724817],10,-0.2027725208399715
Mo,[12.43542955  8.72285731 10.71691876],[1.671761   8.75575675 3.41436662],3,-0.0754760700401675
Ni,[14.34407302  8.74760423  8.83385335],[ 8.88665653 14.33772792 12.4661556 ],11,-0.0754760700401675
Ni,[10.70659056  5.17605012 12.49303947],[ 7.08321645  7.05970488 10.65982084],12,-0.0320289573999161
Cr,[12.41959696  7.08200701 12.48721818],[5.2744544  7.05981905 8.99520239],9,-0.0320289573999161
Ni,[14.36503642  5.1561669   1.64152972],[ 1.64899251  8.73884855 10.67600653],13,-0.2748904844900153
Mo,[14.25348693  6.95520095 14.30952983],[14.33993316  8.6962319   8.82121022],4,-0.2748904844900153
Ni,[10.71661057 14.27384647 10.6907483 ],[ 5.32394195 10.59385118  5.50189107],14,-0.2569990794600016
Cr,[12.48917806 14.30058847  8.88236392],[5.44754121 3.04761316 9.17701004],10,-0.2569990794600016
